,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31,No,No,No,No,No,No,No,Not sure,No,No,No,No,No,No,No,No,No,Yes,No,No
32,No,No,No,No,No,No,Yes,No,No,Not sure,No,No,No,No,Not sure,No,No,No,No,Yes
33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35,No,No,No,No,No,No,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No
36,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,No,No,No,No,Not sure,No,Not sure,Yes,No,No,Not sure,No,No,No,No,No,No,No,No,No
44,No,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45,No,Not sure,No,No,Not sure,Not sure,Not sure,No,No,No,No,No,No,No,Not sure,Yes,Not sure,No,No,Not sure
46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not sure,No,No,No,No
48,No,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No,No,No,No,No,Not sure,Not sure,Not sure,Not sure,No,No,No,No
49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,Not sure,Yes,No,Not sure,Yes,Not sure,Not sure,Yes,Not sure,No,No,No,No,Yes,No,Yes,Yes,Not sure,Not sure,Not sure
51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
52,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Not sure,Not sure,Not sure,Not sure,Not sure,Yes
53,No,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,No,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
54,No,No,No,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No,No,No,Not sure,Yes,No
56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,No,No,No,No,No,Not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No
58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,No,No,No,No,Not sure,No,No,No,No,No,No,No,No,No,No,Not sure,No,No,No,No
62,No,No,Not sure,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
63,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
